latitude,longitude,error_m,bathymetry
41.340734464004406,-70.54099656049584,12.430428593888788,-9.923733411757725
41.34073263915003,-70.54105631954918,14.029018744168866,-9.914336736063015
41.34073008006104,-70.54110091156203,12.320542128290525,-9.907637524536993
41.3407451594235,-70.54113154375017,11.6731051727572,-9.895612898389562
41.34070158907347,-70.5411779283957,12.243163451356368,-9.906051635176697
41.340717896671784,-70.54122895864309,12.934090791078624,-9.889723902502809
41.34069963683897,-70.54126482735167,12.58777504047625,-9.890928858322221
41.34066594308676,-70.54130188761278,12.677457584355038,-9.898252967804275
41.340577956386596,-70.54132281687272,16.08365699285791,-9.9297320670615
41.34059067818024,-70.54138498179634,14.671529043198273,-9.913252645885315
41.34063569773303,-70.54144897369004,11.663066714034187,-9.883211417871394
41.34060491897724,-70.54148289442577,15.736988590095354,-9.889333220160497
41.340581996614034,-70.54152083883558,13.592366517125894,-9.891359566883192
41.34058932819369,-70.54156953926072,13.350305833421684,-9.879428130974853
41.34056232969671,-70.54161880713737,13.710221001086712,-9.880972269268328
41.340567503449726,-70.54167821564236,13.390589044928008,-9.868156667306286
41.340526229872324,-70.54171639356106,12.126578116199777,-9.8772542024781
41.34049115057066,-70.54174917299633,10.869108220933073,-9.885375622226057
41.34049245855083,-70.54180383411591,10.65854575967382,-9.876433583126115
41.34049709132643,-70.54184184241207,10.385458126941451,-9.86906387507806
41.34048526872647,-70.54189837036222,12.414352603153896,-9.866728135048316
41.34046397958529,-70.54193753801421,12.970623855558552,-9.870317528056821
41.34045517694779,-70.54198118341307,10.918195996228064,-9.867449020796972
41.340468117042505,-70.54203837215503,10.845234692015461,-9.853499028051708
41.34050325585594,-70.54209729176277,10.771072081087022,-9.830493703661096
41.34046852898162,-70.5421507166722,11.126290426194123,-9.838216717320078
41.34046515950124,-70.54219901205455,10.996323329600441,-9.83402765026938
41.34044472439053,-70.54222607508466,10.666290526501493,-9.839682138068305
41.340435360701925,-70.54227272614413,10.494059201149442,-9.838943318198185
41.340422526460316,-70.54232204859052,9.81450354985359,-9.839713513467803
41.34042758353481,-70.54238398332208,10.325179986170387,-9.831157322693933
41.340415531915276,-70.54242363233219,9.919099081918752,-9.831967794052927
41.34042153273548,-70.5424681629373,10.282565013621454,-9.823721564573953
41.34038657449453,-70.5425197749785,10.208874508482888,-9.833124689014232
41.340372695607705,-70.54257700633454,10.572758599239647,-9.832443443982832
41.34035960874096,-70.54260889858693,10.178470163802936,-9.834570660481456
41.340349680906755,-70.54265063134272,9.99448236231612,-9.834282098506108
41.3403571092938,-70.54270728070713,10.364341673288752,-9.825105780739353
41.340344039817666,-70.54274838420228,10.430646610627068,-9.82661037936951
41.34032021179579,-70.54279633762049,10.243491175222935,-9.832085120252408
41.34029742594859,-70.54284208951505,11.324179217010903,-9.837345517929418
41.34029192690281,-70.54290196692389,10.023104418116612,-9.83411842168385
41.340295163528936,-70.5429350080635,10.172199094732566,-9.82980309699705
41.34026082863071,-70.54297683427205,9.911137587277521,-9.84026519791675
41.340232375317,-70.5430092532238,9.650076079822474,-9.84906406670838
41.34021136765564,-70.54307085008803,9.38901457236743,-9.852160989530702
41.34021236019812,-70.54310290583616,9.127953064912383,-9.848906886077176
41.34019866552842,-70.54315682960767,8.866891557457338,-9.849652501800398
41.34017927710398,-70.543191280276,8.605830050002293,-9.854397839747993
41.340153120951165,-70.54324933402754,8.344768542547246,-9.859597767380677
41.34013111731572,-70.54329867597448,8.083707035092202,-9.863739173548623
41.34012703190791,-70.54332250440213,7.822645527637155,-9.86303563592517
41.34010671255687,-70.5433729482633,7.56158402018211,-9.866075167560401
41.34009698267822,-70.5434114625911,7.300522512727064,-9.865901953445086
41.34008233369495,-70.54345088627717,7.039461005272019,-9.867434463795522
41.34007097821047,-70.54349181654861,6.778399497816974,-9.867283720107809
41.34004919910009,-70.54355004899021,6.517337990361928,-9.868924968053793
41.34003518449243,-70.54360234822289,6.516845447043202,-9.867766174868796
41.34003405249667,-70.54363981688653,6.472901310906491,-9.86314299118279
