global_sample,global_start,global_end,orig_rms_db,filt_rms_db,rms_diff_db
12966754,12948754,12980754,130.7041459910236,118.85315564163244,11.850990349391168
12989738,12971738,13003738,130.809667404688,118.93012982872983,11.879537575958182
13015922,12997922,13029922,130.12471306457786,120.11091245497087,10.013800609606989
13040616,13022616,13054616,130.1007427516201,119.44926921439426,10.651473537225826
13063246,13045246,13077246,130.59839558655472,119.96239303908469,10.636002547470028
13088209,13070209,13102209,129.7266393496086,119.71891899404935,10.007720355559258
13114363,13096363,13128363,129.2965303278849,119.66470045389306,9.631829873991848
13138613,13120613,13152613,129.27179184496097,120.08467142102177,9.187120423939206
13162856,13144856,13176856,129.6522080269351,121.40641288541978,8.24579514151533
13185653,13167653,13199653,129.98087733985972,122.93106850610009,7.049808833759627
13210012,13192012,13224012,130.21775970136812,121.5686261448804,8.649133556487726
13234421,13216421,13248421,129.8936379244408,121.49541006280087,8.398227861639938
13259019,13241019,13273019,129.6493864022249,121.29357898056485,8.35580742166006
13283262,13265262,13297262,130.2327672439931,121.3941174578852,8.838649786107894
13307639,13289639,13321639,129.92307847889376,120.76311236962823,9.159966109265525
13332075,13314075,13346075,129.27333209475762,121.05331242024327,8.220019674514347
13356270,13338270,13370270,130.3187350502139,122.80892725038292,7.509807799830966
13380741,13362741,13394741,130.2988431138655,124.98889978825326,5.309943325612238
13404912,13386912,13418912,130.54021160538144,121.48488040079529,9.055331204586153
13428875,13410875,13442875,130.9015944088885,121.63441810461333,9.267176304275182
14228441,14210441,14242441,128.23152155204158,123.41484273621916,4.816678815822428
14252253,14234253,14266253,129.06756423703035,124.91547712685707,4.152087110173284
14276234,14258234,14290234,129.05155046917056,122.7203078512224,6.331242617948163
14300147,14282147,14314147,128.74766257191968,122.58116266875476,6.166499903164919
14323818,14305818,14337818,128.939028350218,122.40983397785534,6.529194372362653
14347563,14329563,14361563,128.36127742868476,122.02024085744655,6.341036571238206
14371738,14353738,14385738,128.27303705112126,121.7618386152345,6.511198435886769
14395526,14377526,14409526,128.82061793103273,121.15275425932829,7.667863671704438
14419780,14401780,14433780,131.50823460781905,128.51186231578458,2.996372292034465
14443178,14425178,14457178,129.8597614548067,126.38511241892752,3.4746490358791675
14466981,14448981,14480981,128.40255081865126,120.40647626113922,7.9960745575120455
14490550,14472550,14504550,128.80800173772434,121.43465333569785,7.373348402026494
14514445,14496445,14528445,129.45075095309423,121.56843524639956,7.882315706694669
14538342,14520342,14552342,130.01762015590947,124.71039529849214,5.307224857417324
14562088,14544088,14576088,130.57075424757062,125.52839589841533,5.042358349155293
14585730,14567730,14599730,129.36422874667414,121.2543298150494,8.109898931624741
14609728,14591728,14623728,131.97149038588154,129.3353334774349,2.636156908446651
14633498,14615498,14647498,129.1057510479713,123.93783600428986,5.1679150436814325
14657437,14639437,14671437,131.07932079160213,127.29212803515705,3.78719275644508
14680992,14662992,14694992,129.9369034990567,123.96835898994306,5.968544509113656
14704663,14686663,14718663,130.56743718239022,123.03606404232377,7.531373140066449
14728278,14710278,14742278,130.87783915859228,121.61023938001902,9.267599778573256
14753341,14735341,14767341,129.42849012420635,120.70409132117345,8.724398803032898
14776143,14758143,14790143,130.2342728373323,121.79984707487635,8.434425762455945
14799688,14781688,14813688,131.0268115030293,121.9550056625138,9.071805840515509
14823169,14805169,14837169,134.10210506634024,130.6887260131214,3.413379053218847
14846007,14828007,14860007,134.79968904324926,130.43286182764777,4.366827215601489
14869265,14851265,14883265,133.10661859685635,122.60396428120634,10.502654315650005
14891232,14873232,14905232,133.7287329988519,122.22985068077271,11.498882318079197
14914365,14896365,14928365,133.02221409666421,121.25208816446728,11.770125932196933
14938180,14920180,14952180,131.7959047245776,121.77044413612826,10.025460588449349
14959713,14941713,14973713,132.62377815342228,125.93472275976829,6.689055393653987
14981779,14963779,14995779,133.34967132533794,124.44976326492062,8.899908060417317
15005939,14987939,15019939,136.37114384828152,134.2648339358076,2.1063099124739324
15029254,15011254,15043254,135.92414342103552,133.90003786770282,2.024105553332703
15053356,15035356,15067356,132.5735348877855,127.51584072669772,5.057694161087795
15076588,15058588,15090588,132.3346647459438,120.90453652854978,11.430128217394014
15100777,15082777,15114777,132.12235012518718,120.65512720416079,11.46722292102639
15124856,15106856,15138856,132.04270597874844,120.41668571907942,11.62602025966902
15148844,15130844,15162844,132.26343105612344,121.39434005758594,10.869090998537501
15173195,15155195,15187195,131.93311714217498,120.68558256821545,11.247534573959527
15197233,15179233,15211233,136.24389675801376,134.14695557640383,2.0969411816099353
15221147,15203147,15235147,135.84586671248024,133.94460880508942,1.9012579073908284
15245229,15227229,15259229,132.08733631964165,121.63210071781818,10.455235601823475
15269659,15251659,15283659,131.77197716566823,121.79248337000415,9.979493795664084
15293338,15275338,15307338,132.5045485756343,121.65191849887708,10.852630076757208
15317237,15299237,15331237,131.71700629673376,120.83794047089184,10.87906582584192
15341246,15323246,15355246,132.02713742130112,120.13484810574346,11.892289315557662
