global_sample,global_start,global_end,orig_rms_db,filt_rms_db,rms_diff_db
11869393,11851815,11883064,133.02619489285232,131.58415336377607,1.4420415290762492
11893515,11875937,11907186,127.23295666953648,118.6107327777793,8.622223891757173
11918049,11900471,11931720,127.15522529861987,117.37268765404548,9.78253764457439
11943073,11925495,11956744,126.63468231139962,116.34789196949754,10.286790341902076
11967549,11949971,11981220,126.82981804391827,116.75934397881,10.070474065108272
11991832,11974254,12005503,127.60042451634527,117.49460321462827,10.105821301717
12014377,11996799,12028048,127.35992292897984,118.60259752919015,8.757325399789693
12040205,12022627,12053876,133.4427520159868,131.9789174322762,1.463834583710593
12062862,12045284,12076533,132.59752335072076,131.33408878666248,1.2634345640582865
12087017,12069439,12100688,127.00240855495396,117.22455959797749,9.77784895697647
12111484,12093906,12125155,127.52286077029055,117.89776274503228,9.625098025258268
12135685,12118107,12149356,127.20993051111208,116.99158705323329,10.218343457878788
12159683,12142105,12173354,126.9794609645734,116.04222777347957,10.937233191093839
12184147,12166569,12197818,126.39562093699668,115.73078042206507,10.664840514931612
12208411,12190833,12222082,126.83086518275485,115.9582046155162,10.872660567238654
12232794,12215216,12246465,128.41961992865257,123.89219128397323,4.527428644679333
12255911,12238333,12269582,130.71316869554659,128.3807534174184,2.3324152781281953
12281250,12263672,12294921,126.47479137797083,115.662740924817,10.81205045315383
12303409,12285831,12317080,127.94112136951533,116.77070452441538,11.17041684509995
12328284,12310706,12341955,127.07806541403568,115.51308639984524,11.564979014190442
12352297,12334719,12365968,127.41228579003649,114.58037030404992,12.83191548598657
12375628,12358050,12389299,128.49671879175597,115.5639344530462,12.932784338709766
12401277,12383699,12414948,127.148082012313,115.39189295498376,11.756189057329237
12425395,12407817,12439066,126.45808112544566,114.72769417681725,11.730386948628407
12448332,12430754,12462003,128.6922280382434,122.82320332069851,5.869024717544889
12472322,12454744,12485993,127.72020304831555,115.7347356923173,11.985467355998253
12496377,12478799,12510048,128.0443490266464,116.32623897044361,11.718110056202775
12520338,12502760,12534009,128.00330203648275,116.77702571270834,11.226276323774414
12544427,12526849,12558098,127.71811730996444,116.07868045975364,11.6394368502108
12568315,12550737,12581986,127.76021694878614,117.0302502336713,10.729966715114841
12592131,12574553,12605802,128.0861888502709,118.32927125283146,9.75691759743944
12618273,12600695,12631944,126.74740513386,115.25797404843907,11.489431085420932
12641699,12624121,12655370,126.75986057043309,117.00057655641768,9.759284014015407
12665653,12648075,12679324,127.07929661359691,117.48017683342495,9.59911978017196
12689307,12671729,12702978,126.76190991155623,115.52593919291041,11.235970718645817
12713441,12695863,12727112,126.64030165294938,115.50835369909974,11.131947953849632
12737339,12719761,12751010,126.98754829941274,116.99081264652392,9.996735652888816
12761319,12743741,12774990,127.11427120944875,116.51364495028562,10.600626259163121
12785275,12767697,12798946,126.47161555201211,115.67177391365962,10.79984163835249
12809440,12791862,12823111,126.31798394549067,115.33094849824394,10.987035447246726
12833544,12815966,12847215,126.19878769306281,115.44245360303327,10.75633409002954
12857239,12839661,12870910,126.5590835662117,116.18938352584382,10.369700040367874
12880816,12863238,12894487,126.59047420729992,116.63205933500271,9.958414872297212
12903082,12885504,12916753,127.0071771732485,117.68572558565084,9.32145158759765
12926801,12909223,12940472,127.53637680311634,117.3999880888046,10.136388714311735
12950641,12933063,12964312,127.113865163752,117.01354230390803,10.10032285984397
12974727,12957149,12988398,126.8033817481262,116.08231867137292,10.721063076753282
12998342,12980764,13012013,127.65884800921178,116.25972127595278,11.399126733258996
13022206,13004628,13035877,127.2419661146173,116.05558898261306,11.186377132004239
13046066,13028488,13059737,126.67017189059766,115.23817528464906,11.431996605948598
13069697,13052119,13083368,127.1751594857329,115.13700839017078,12.038151095562128
13093593,13076015,13107264,126.69908652059364,116.43393038184819,10.265156138745454
13117138,13099560,13130809,127.73458214514017,117.1568326315292,10.577749513610968
